[145, 'hand open']
[205, 'hand closed']
[265, 'hand open']
[337, 'hand closed']
[468, 'hand open']
[654, 'hand closed']
[707, 'hand open']
[786, 'hand closed']
[860, 'hand open']
[976, 'hand closed']
[1024, 'hand open']
[1109, 'hand closed']
[1132, 'hand open']
[1176, 'hand closed']
[1222, 'hand open']
[1274, 'hand closed']
[1314, 'hand open']
[1376, 'hand closed']
[1412, 'hand open']
[1455, 'hand closed']
[1520, 'hand open']
[1552, 'hand closed']
[1591, 'hand open']
[1625, 'hand closed']
[1696, 'hand open']
[1764, 'hand closed']
[1834, 'hand open']
[1903, 'hand closed']
[1953, 'hand open']
[2000, 'hand closed']
[2111, 'hand open']
[2159, 'hand closed']
[2223, 'hand open']
[2284, None]
[2377, 'hand open']
[2393, 'hand closed']
[2448, 'hand open']
[2512, 'hand closed']
[2560, 'hand open']
[2630, 'hand closed']
[2676, 'hand open']
[2727, 'hand closed']
[2763, 'hand open']
[2824, 'hand closed']
[2982, 'hand open']
[3094, 'hand closed']
[3165, 'hand open']
[3287, 'hand closed']
[3337, 'hand open']
[3396, 'hand closed']
[3453, 'hand open']
[3504, None]
[3560, 'hand open']
[3573, 'hand closed']
[3647, 'hand open']
[3715, 'hand closed']
[3765, 'hand open']
[3806, 'hand closed']
[3855, 'hand open']
[3923, 'hand closed']
[3969, 'hand open']
[4015, None]
