[122, 'hand open']
[150, None]
[318, 'hand open']
[398, 'hand closed']
[567, 'hand open']
[658, None]
[718, 'hand open']
[757, 'hand closed']
[860, 'hand open']
[914, None]
[1098, 'hand open']
[1134, 'hand closed']
[1243, 'hand open']
[1280, None]
[1608, 'hand open']
[1622, 'hand closed']
[1740, 'hand open']
[1829, None]
[1913, 'hand open']
[1935, 'hand closed']
[1995, 'hand open']
[2037, None]
[2440, 'hand open']
[2479, 'hand closed']
[2567, 'hand open']
[2617, None]
[2714, 'hand open']
[2746, 'hand closed']
[2807, 'hand open']
[2828, None]
[2902, 'hand open']
[2915, 'hand closed']
[2977, 'hand open']
[3001, None]
[3071, 'hand open']
[3093, 'hand closed']
[3150, 'hand open']
[3185, 'hand closed']
[3246, 'hand open']
[3265, None]
[3480, 'hand open']
[3615, 'hand closed']
[3666, 'hand open']
[3703, 'hand closed']
[3737, 'hand open']
[3765, 'hand closed']
[3805, 'hand open']
[3833, 'hand closed']
[3873, 'hand open']
[3926, None]
[3957, 'hand open']
[3974, 'hand closed']
[4010, 'hand open']
[4046, 'hand closed']
[4077, 'hand open']
[4095, 'hand closed']
[4140, 'hand open']
[4158, 'hand closed']
[4198, 'hand open']
[4249, None]
[4722, 'hand open']
[4744, 'hand closed']
[4832, 'hand open']
[4865, None]
[4895, 'hand open']
[4906, 'hand closed']
[4958, 'hand open']
[4988, None]
[5101, 'hand open']
[5141, 'hand closed']
[5203, 'hand open']
[5240, None]
[5291, 'hand open']
[5308, 'hand closed']
[5403, 'hand open']
[5554, None]
[5610, 'hand open']
[5621, 'hand closed']
[5677, 'hand open']
[5755, None]
