[197, 'hand open']
[259, 'hand closed']
[325, 'hand open']
[365, None]
[384, 'hand open']
[409, 'hand closed']
[501, 'hand open']
[533, None]
[643, 'hand open']
[672, 'hand closed']
[738, 'hand open']
[791, None]
[850, 'hand open']
[871, 'hand closed']
[966, 'hand open']
[997, None]
[1221, 'hand open']
[1340, 'hand closed']
[1430, 'hand open']
[1462, None]
[1824, 'hand open']
[1856, 'hand closed']
[1892, 'hand open']
[2028, 'hand closed']
[2135, 'hand open']
[2255, 'hand closed']
[2358, 'hand open']
[2393, None]
[2466, 'hand open']
[2514, 'hand closed']
[2564, 'hand open']
[2627, 'hand closed']
[2694, 'hand open']
[2836, 'hand closed']
[2933, 'hand open']
[3000, 'hand closed']
[3074, 'hand open']
[3220, None]
[3318, 'hand open']
[3334, 'hand closed']
[3413, 'hand open']
[3579, 'hand closed']
[3654, 'hand open']
[3737, 'hand closed']
[3783, 'hand open']
[3817, None]
[3841, 'hand open']
[3855, 'hand closed']
[3906, 'hand open']
[3916, None]
[3948, 'hand open']
[3962, 'hand closed']
[4023, 'hand open']
[4100, 'hand closed']
[4159, 'hand open']
[4214, 'hand closed']
[4293, 'hand open']
[4358, None]
